id,name,lat(bridge),lng(bridge),latitude,longitude
1,IMG_1945,"34,0.2973333N","118,48.3078333W",34.00495556,118.8051306
2,IMG_1960,"34,0.242N","118,48.3238333W",34.00403333,118.8053972
3,IMG_1971,"34,0.2225N","118,48.3086667W",34.00370833,118.8051444
4,IMG_1976,"34,0.1985N","118,48.317W",34.00330833,118.8052833
5,IMG_2002,"34,0.1796667N","118,48.328W",34.00299445,118.8054667
6,IMG_2026,"34,0.075N","118,48.3851667W",34.00125000,118.8064194
7,IMG_2034,"34,0.1128333N","118,48.3966667W",34.00188056,118.8066111
8,IMG_2035,"34,0.1111667N","118,48.3925W",34.00185278,118.8065417
9,IMG_2056,"34,0.0526667N","118,48.3806667W",34.00087778,118.8063444
10,IMG_2066,No Data,No Data,#VALUE!,#VALUE!
11,IMG_2067,"34,0.052N","118,48.3888333W",34.00086667,118.8064806
12,IMG_2076,"34,0.1446667N","118,48.3791667W",34.00241111,118.8063194
13,IMG_2077,"34,0.1463333N","118,48.3801667W",34.00243889,118.8063361
14,IMG_2082,"34,0.1556667N","118,48.3553333W",34.00259445,118.8059222
